"Date","Time","Min12Temp","Max12Precip"
2010-02-07,"Sunrise",5,0
2010-02-07,"Midday",5,0
2010-02-07,"Sunset",7.77777777777778,0
2010-02-11,"Sunrise",8.33333333333333,0.1
2010-02-11,"Midday",9.44444444444444,0
2010-02-11,"Sunset",11.1111111111111,0
2010-02-14,"Sunrise",10,0.1
2010-02-14,"Midday",10,0.3
2010-02-14,"Sunset",11.1111111111111,0.3
2010-02-18,"Sunrise",7.22222222222222,0
2010-02-18,"Midday",7.22222222222222,0
2010-02-18,"Sunset",7.22222222222222,0
2010-02-21,"Sunrise",8.33333333333333,0
2010-02-21,"Midday",8.33333333333333,0
2010-02-21,"Sunset",8.33333333333333,0
2010-02-25,"Sunrise",8.88888888888889,0
2010-02-25,"Midday",8.33333333333333,0
2010-02-25,"Sunset",8.33333333333333,0
2010-02-28,"Sunrise",9.44444444444444,0
2010-02-28,"Midday",9.44444444444444,0
2010-02-28,"Sunset",9.44444444444444,0
2010-03-04,"Sunrise",5,0
2010-03-04,"Midday",5,0
2010-03-04,"Sunset",5,0
2010-03-07,"Sunrise",8.88888888888889,0
2010-03-07,"Midday",8.88888888888889,0
2010-03-07,"Sunset",10,0
